invoice_id,customer_name,invoice_date,amount
INV000001,KAI SRINIVAS,19/10/2025,6449
INV000002,WILLIAM PANDEY,22/11/2025,40369
INV000003,WARINDER RATTAN,18/10/2025,48432
INV000004,YACHANA PATLA,11/06/2025,8059
INV000005,CHAMAN HORA,26/10/2025,37358
INV000006,CHAKRADEV PRASHAD,11/06/2025,49503
INV000007,SNEHA RAMAKRISHNAN,01/05/2025,47690
INV000008,DALAJA PRABHU,01/01/2025,33791
INV000009,PATRICK TANK,27/10/2025,26042
INV000010,CHATRESH PRAKASH,12/04/2026,27572
INV000011,URISHILLA MANDAL,25/04/2025,28457
INV000012,BRIJESH TARA,18/12/2024,15636
INV000013,QABIL UPPAL,10/09/2025,12246
INV000014,MANYA MADAN,09/08/2025,13792
INV000015,JAI KALITA,07/09/2024,13239
INV000016,BHAVIKA GODA,23/08/2024,25807
INV000017,NEHA DESHPANDE,17/11/2024,21727
INV000018,AARUSH DARA,14/04/2025,32273
INV000019,CHAITALY RAJU,16/10/2024,34445
INV000020,CHAVVI BORRA,28/02/2026,25707
INV000021,DEVANSH BALAY,20/10/2024,9280
INV000022,EKBAL DHINGRA,16/02/2025,34812
INV000023,TARAK DARA,02/11/2025,41748
INV000024,TRIYA NARANG,24/08/2024,2390
INV000025,ZAID AGARWAL,22/03/2026,46670
INV000026,FARAJ GHOSH,20/03/2025,4851
INV000027,ROHAN MISHRA,05/10/2024,10827
INV000028,HARRISON NARAYANAN,08/03/2025,47958
INV000029,FARAS APTE,06/08/2024,40700
INV000030,SANYA DUGAR,24/02/2026,34967
INV000031,NEEL DHILLON,01/02/2026,15883
INV000032,BRINDA DHILLON,29/06/2024,14258
INV000033,INDALI ANNE,28/10/2025,23313
INV000034,YAGNESH GOUR,04/02/2025,12390
INV000035,TRIVENI VAIDYA,18/04/2026,38260
INV000036,OSCAR CHANDRAN,08/08/2025,25177
INV000037,AYAAN GOLE,07/12/2024,8706
INV000038,PALLAVI LAD,21/02/2025,678
INV000039,HENRY DEO,18/02/2025,48591
INV000040,RANVEER AGARWAL,09/06/2026,6110
INV000041,SACHI SEHGAL,11/01/2026,41704
INV000042,CHAITALY SUNDARAM,08/02/2025,12302
INV000043,YASHICA BEDI,18/10/2025,17942
INV000044,AMRUTA JAYARAMAN,20/05/2025,10799
INV000045,ARJUN AGATE,13/06/2025,18130
INV000046,VIVAAN CHAKRABORTY,25/06/2026,47549
INV000047,ZANSI SACHAR,18/03/2026,25972
INV000048,RANVEER KALA,08/09/2025,30569
INV000049,YACHANA PALL,23/07/2025,48810
INV000050,ABDUL NAIR,29/09/2025,46909
INV000051,ARADHANA BARMAN,22/09/2025,33764
INV000052,GIRIK BHASIN,29/05/2025,22703
INV000053,NITARA BHATIA,19/03/2026,9401
INV000054,KAMALA CHANDA,07/09/2025,6381
INV000055,BINA RASTOGI,23/02/2025,43254
INV000056,CHARAN DUGAR,03/07/2024,6281
INV000057,MAHIKA OOMMEN,04/10/2025,30274
INV000058,NIKITA SOMAN,27/11/2024,12933
INV000059,ARYA SAVANT,30/01/2025,6642
INV000060,EKARAJ RAY,19/11/2024,15705
INV000061,CHAITANYA GARA,08/05/2025,30290
INV000062,GAURANGI SANDHU,13/11/2024,3462
INV000063,YASHASVI PANDEY,09/07/2024,39421
INV000064,LADLI NAGI,16/08/2024,9266
INV000065,BRINDA RATTA,15/12/2024,49444
INV000066,LIPIKA DESHPANDE,22/11/2024,7494
INV000067,MANBIR BISWAS,05/02/2026,28527
INV000068,DAVID SANGHVI,07/06/2025,31810
INV000069,SHRAVYA RAMESH,01/09/2025,21725
INV000070,ISAAC KHALSA,23/04/2026,3160
INV000071,VANSHA KARAN,28/12/2024,13637
INV000072,DIPTA MODY,22/02/2025,48959
INV000073,LEKHA KAMDAR,26/08/2025,28041
INV000074,CHATRESH BALAN,03/03/2025,15446
INV000075,SACHI PAU,06/04/2026,46343
INV000076,OLIVER SEKHON,13/03/2026,38583
INV000077,JAIRAJ MODI,28/04/2025,41535
INV000078,IRYA MURTHY,30/04/2025,8603
INV000079,LAKSH MISRA,14/08/2024,41313
INV000080,PARTH PAL,06/09/2025,5008
INV000081,NIHARIKA BRAHMBHATT,12/11/2024,8640
INV000082,RUDRA MORE,28/05/2025,8713
INV000083,TANMAYI LAD,22/09/2024,40151
INV000084,CHARITA GARDE,03/10/2024,43707
INV000085,FINN SHERE,22/01/2025,45184
INV000086,SACHI SOM,21/03/2026,43366
INV000087,ONI BEHL,17/10/2024,33203
INV000088,VRITTI DUTTA,03/06/2025,27266
INV000089,HAMSINI NATT,07/01/2025,20524
INV000090,ANAMIKA MANN,05/01/2026,33350
INV000091,CALEB GODA,30/09/2025,8386
INV000092,VAISHNAVI BATH,19/08/2025,31342
INV000093,VIRAJ JAIN,05/04/2025,35811
INV000094,RISHI BEN,09/01/2026,24783
INV000095,NIHAL SANGHVI,07/07/2025,32241
INV000096,QARIN RAMACHANDRAN,19/07/2025,34010
INV000097,OLIVER BALAN,25/11/2024,12912
INV000098,CHANCHAL MAHAL,05/11/2024,1032
INV000099,ADVAY DHAR,07/10/2024,9593
INV000100,LAKSHMI CHEEMA,14/01/2025,14179
INV000101,WRIDESH LAL,27/01/2026,19592
INV000102,UPMA PRABHAKAR,06/02/2026,23777
INV000103,MANYA NAGY,23/07/2025,39281
INV000104,AMRUTA DESHMUKH,07/06/2025,3487
INV000105,YOSHITA KAR,29/08/2024,946
INV000106,OJASVI KEER,30/12/2024,7290
INV000107,TRIPTI PILLAY,03/01/2025,2110
INV000108,RISHI KONDA,02/04/2026,40403
INV000109,GIRIK BUMB,24/01/2026,41930
INV000110,VANYA OAK,24/11/2025,44163
INV000111,NISHA BARAL,15/09/2024,7407
INV000112,INDALI SHUKLA,27/01/2026,4052
INV000113,LUKE KARNIK,06/02/2026,23962
INV000114,GABRIEL LANKA,14/09/2024,23888
INV000115,MANYA PUROHIT,19/05/2025,16860
INV000116,HITESH DALAL,13/10/2025,33883
INV000117,AMARA MAHAL,07/02/2026,2228
INV000118,CHANDRESH BIR,15/08/2025,21423
INV000119,DEVANSH NARANG,17/02/2026,5672
INV000120,YASH SHAH,01/05/2026,5001
INV000121,TARA SUR,06/02/2026,23366
INV000122,AVNI OOMMEN,19/12/2025,40010
INV000123,SAMESH LALLA,16/08/2024,32462
INV000124,DAYITA KALA,15/06/2026,21981
INV000125,ELIJAH ACHARYA,03/07/2025,35102
INV000126,ANUSHA UPPAL,28/06/2024,33052
INV000127,CHANAKYA CHOUDHARY,08/09/2024,23140
INV000128,AGASTYA NARASIMHAN,17/09/2025,35920
INV000129,SAUMYA SATHE,04/11/2024,11492
INV000130,SAMARTH DHAR,05/12/2025,908
INV000131,YAHVI SUNDARAM,30/04/2025,5368
INV000132,OM BHALLA,24/05/2026,6408
INV000133,DEVANSH DAVE,02/06/2025,25520
INV000134,RAKSHA COMAR,24/04/2026,35789
INV000135,INAYA AGRAWAL,27/05/2025,17190
INV000136,BIMALA MINHAS,12/01/2026,27055
INV000137,TRIPTI ARORA,23/07/2025,34309
INV000138,EIRAVATI VENKATESH,07/03/2026,10544
INV000139,URVASHI CHAD,20/01/2026,10245
INV000140,SANYA BASU,18/01/2025,23495
INV000141,XAVIER PAI,03/03/2026,40961
INV000142,VANSHA GARA,17/05/2025,39486
INV000143,NITESH SOOD,05/01/2026,42884
INV000144,WAHAB LANKA,09/05/2026,45263
INV000145,LIBNI PARMAR,21/02/2026,25043
INV000146,YAUVANI GOLA,25/05/2026,15831
INV000147,TRIVENI THAKKAR,27/02/2026,45108
INV000148,GAYATHRI DHINGRA,25/09/2024,23603
INV000149,BAKHSHI BALA,04/12/2025,44593
INV000150,HRITIK BHATT,04/08/2025,36594
INV000151,UNNI SURESH,08/07/2025,38196
INV000152,EKTA CONTRACTOR,04/09/2025,47526
INV000153,ONVEER DUGAR,17/04/2026,49911
INV000154,OMISHA BARAD,17/06/2025,9928
INV000155,ABHA SHA,20/02/2025,41217
INV000156,URISHILLA SARAN,27/09/2024,30644
INV000157,NACHIKET SODHI,15/06/2025,38657
INV000158,RAAGINI CHOWDHURY,03/08/2024,16543
INV000159,OSCAR MANNAN,04/01/2025,18449
INV000160,YASHODHARA NARASIMHAN,07/02/2025,36229
INV000161,INAYA RAVI,03/02/2026,30557
INV000162,ALKA RATTAN,29/12/2024,40883
INV000163,BALHAAR MAJUMDAR,30/03/2025,15112
INV000164,OLIVER SAWHNEY,04/08/2024,32439
INV000165,LIBNI PARSA,24/10/2025,22392
INV000166,BISHAKHA JANI,27/01/2025,42491
