invoice_id,customer_name,invoice_date,amount
INV000001,MADHAV DAR,17/04/2026,8221
INV000002,ARUNIMA RAJ,14/02/2026,29345
INV000003,GAVIN MINHAS,21/09/2024,35521
INV000004,EKANSH VIG,03/10/2025,46425
INV000005,KIAAN SURESH,04/12/2024,45284
INV000006,LIAM MOHANTY,22/08/2025,4123
INV000007,RAKSHA SUR,27/05/2025,39443
INV000008,QUSHI DAR,01/04/2025,35152
INV000009,DEEPA ARYA,01/02/2026,23525
INV000010,DEEPA SWAMY,14/05/2026,14441
INV000011,HARISH OZA,24/02/2025,32610
INV000012,TEJAS HARI,16/12/2025,9871
INV000013,BENJAMIN RAMACHANDRAN,28/04/2025,31162
INV000014,VAMAKSHI JAIN,11/11/2025,5512
INV000015,SARTHAK SARIN,18/12/2024,1455
INV000016,VANYA MERCHANT,24/04/2026,40677
INV000017,JAGRATI WADHWA,21/04/2025,31358
INV000018,HARDIK UPADHYAY,08/10/2025,16251
INV000019,GARIMA GANESH,20/10/2025,35116
INV000020,THOMAS MUNI,23/03/2025,37462
INV000021,KAI BABU,04/08/2025,47047
INV000022,BAKHSHI PRASHAD,14/05/2026,28239
INV000023,AVNI LAL,19/11/2025,17477
INV000024,PAHAL CHANDRA,27/01/2025,6800
INV000025,JAGDISH ZACHARIAH,20/12/2025,18054
INV000026,TEJAS PAU,19/09/2024,37045
INV000027,ABHIRAM MUTTI,22/11/2025,37939
INV000028,OSHA CHOUDHARY,12/05/2025,29327
INV000029,DARPAN LALA,29/11/2024,33338
INV000030,JYOTI VARUGHESE,07/09/2024,3764
INV000031,RISHI DUBE,12/09/2025,48766
INV000032,ADVIK IYER,10/04/2025,19819
INV000033,LAJITA BARIA,27/08/2025,1198
INV000034,GAURIKA RAI,25/12/2024,3343
INV000035,AARAV RAI,20/11/2024,27675
INV000036,TARA KEER,09/05/2026,46643
INV000037,IKSHITA SANGHA,01/07/2024,1591
INV000038,SANYA MANNAN,15/03/2025,23649
INV000039,HEMAL SWAMINATHAN,09/11/2024,37123
INV000040,CHAMAN KALLA,18/12/2024,4383
INV000041,NAKSH KALITA,15/03/2026,20973
INV000042,JOSHUA KRISHNA,05/02/2026,5315
INV000043,VRISHTI PANCHAL,18/05/2025,27238
INV000044,JASMIT KUMAR,03/04/2026,19445
INV000045,ABHIRAM NAGAR,19/03/2025,42287
INV000046,JASMIT YOHANNAN,26/11/2025,6008
INV000047,ETHAN SINHA,12/06/2026,15099
INV000048,MAHIKA IYER,22/07/2025,37821
INV000049,VRINDA BANERJEE,24/06/2025,32156
INV000050,YASHODHARA OM,27/07/2025,5053
INV000051,ONVEER GOLE,22/03/2026,29189
INV000052,BRIJESH ANNE,08/10/2024,25947
INV000053,MADHAV GULATI,10/03/2026,38637
INV000054,ZILMIL MANI,11/11/2025,14496
INV000055,YASHICA KALLA,09/10/2025,879
INV000056,YAMINI WALI,01/12/2024,9041
INV000057,VIRAJ BALASUBRAMANIAN,14/06/2025,35059
INV000058,IRA LANKA,17/12/2025,34117
INV000059,VEDHIKA OZA,13/04/2025,7255
INV000060,ABHA KOTHARI,29/12/2024,8524
INV000061,EKANTA BAWA,15/10/2024,32512
INV000062,HEMANG BALASUBRAMANIAN,27/02/2026,33120
INV000063,LIAM SAMRA,04/05/2025,4051
INV000064,KABIR RAI,14/07/2025,48521
INV000065,ADVAITH TRIPATHI,11/02/2026,14501
INV000066,ABHA NATH,03/09/2024,34694
INV000067,NANDINI MUKHERJEE,23/06/2025,19051
INV000068,KAI SAHOTA,30/12/2024,41806
INV000069,ZAYYAN TOOR,22/03/2026,32972
INV000070,AYAAN PALL,14/02/2025,15355
INV000071,MAYA SACHAR,17/02/2026,32302
INV000072,HARITA CHAD,25/06/2026,38351
INV000073,KEYA NAIR,06/05/2026,24882
INV000074,BHAVIKA BORA,20/07/2025,41743
INV000075,CHARAN ANNE,18/04/2026,39860
INV000076,YOCHANA CHOUDHARY,06/05/2025,15202
INV000077,MITESH SEM,24/12/2024,36667
INV000078,YUG SIDHU,25/01/2025,3428
INV000079,JALSA SHENOY,24/08/2025,16216
INV000080,AMAIRA BAKSHI,14/11/2024,46601
INV000081,EDHITHA PALLA,21/03/2025,4422
INV000082,CHATURA SHUKLA,08/07/2024,45601
INV000083,SAMESH WALI,23/07/2024,2331
INV000084,SAI MEMON,25/09/2024,3166
INV000085,DHRITI SHROFF,13/07/2025,13114
INV000086,LILA VARMA,20/01/2025,36964
INV000087,ANAY RAVAL,26/06/2024,14936
INV000088,BALHAAR PAREKH,18/12/2025,8007
INV000089,LOHIT SHROFF,16/02/2026,42721
INV000090,ZEHAAN SETTY,22/03/2025,10221
INV000091,FIYAZ PILLAY,25/08/2025,16016
INV000092,KALPIT DASS,13/09/2024,35147
INV000093,ZAITRA MAJUMDAR,02/11/2025,45718
INV000094,ZASHIL NAIDU,13/10/2024,26216
INV000095,TURVI KOTA,23/05/2026,20434
INV000096,JANYA JHAVERI,19/08/2024,22714
INV000097,PATRICK PRASHAD,13/04/2025,5848
INV000098,FITAN PALAN,06/10/2024,24811
INV000099,HARINAKSHI DESAI,19/07/2025,34381
INV000100,KALPIT MANDAL,13/10/2025,33211
INV000101,VEDIKA KAKAR,28/01/2026,7617
INV000102,OMISHA PRAKASH,14/03/2025,15344
INV000103,ARJUN SARRAF,05/03/2026,26544
INV000104,NISHA KAR,06/04/2025,16943
INV000105,TANVI KARA,20/07/2024,659
